Epoch,Train Loss,Val Loss,MSE,MAE,R²,Learning Rate
211,0.050618,0.049999,0.049999,0.153629,0.762294,0.000000073242
212,0.050643,0.050064,0.050064,0.152503,0.761738,0.000000073242
213,0.050623,0.050123,0.050123,0.153880,0.761788,0.000000073242
214,0.050632,0.050195,0.050195,0.153415,0.761255,0.000000073242
215,0.050671,0.050190,0.050190,0.153048,0.761238,0.000000073242
216,0.050712,0.050326,0.050326,0.152995,0.760478,0.000000073242
217,0.050618,0.050125,0.050125,0.153618,0.761618,0.000000073242
218,0.050640,0.050203,0.050203,0.153380,0.761150,0.000000073242
219,0.050657,0.050223,0.050223,0.153137,0.761028,0.000000073242
220,0.050611,0.050127,0.050127,0.153107,0.761553,0.000000073242
221,0.050691,0.049888,0.049888,0.153234,0.762751,0.000000036621
222,0.050628,0.049990,0.049990,0.153457,0.762305,0.000000036621
223,0.050724,0.050113,0.050113,0.152926,0.761586,0.000000036621
224,0.050683,0.050176,0.050176,0.153258,0.761340,0.000000036621
225,0.050608,0.049882,0.049882,0.153370,0.762920,0.000000036621
226,0.050545,0.050333,0.050333,0.152670,0.760374,0.000000036621
227,0.050740,0.049817,0.049817,0.153086,0.763125,0.000000036621
228,0.050617,0.049877,0.049877,0.152440,0.762759,0.000000036621
229,0.050624,0.050034,0.050034,0.153255,0.762026,0.000000036621
230,0.050728,0.050199,0.050199,0.153369,0.761208,0.000000036621
231,0.050575,0.050009,0.050009,0.153133,0.762202,0.000000036621
232,0.050643,0.050174,0.050174,0.152923,0.761231,0.000000018311
233,0.050690,0.049902,0.049902,0.152399,0.762498,0.000000018311
234,0.050622,0.050337,0.050337,0.153131,0.760438,0.000000018311
235,0.050573,0.050038,0.050038,0.152393,0.761797,0.000000018311
236,0.050597,0.050160,0.050160,0.153027,0.761371,0.000000018311
237,0.050706,0.050228,0.050228,0.152532,0.760897,0.000000018311
238,0.050566,0.050202,0.050202,0.152785,0.761071,0.000000018311
239,0.050584,0.049836,0.049836,0.152129,0.762831,0.000000018311
240,0.050660,0.050141,0.050141,0.152760,0.761359,0.000000018311
241,0.050517,0.050135,0.050135,0.153591,0.761645,0.000000018311
242,0.050640,0.049960,0.049960,0.152985,0.762388,0.000000018311
243,0.050617,0.050301,0.050301,0.153398,0.760804,0.000000018311
244,0.050589,0.050169,0.050169,0.154113,0.761582,0.000000018311
245,0.050607,0.050098,0.050098,0.152939,0.761675,0.000000018311
246,0.050619,0.050058,0.050058,0.152653,0.761774,0.000000018311
247,0.050637,0.050140,0.050140,0.152743,0.761357,0.000000018311
248,0.050643,0.050252,0.050252,0.152884,0.760782,0.000000018311
249,0.050603,0.049952,0.049952,0.153044,0.762413,0.000000018311
250,0.050599,0.050028,0.050028,0.152329,0.761903,0.000000018311
251,0.050721,0.049985,0.049985,0.151783,0.763017,0.000000018311
252,0.050559,0.049801,0.049801,0.152108,0.764024,0.000000018311
253,0.050564,0.049942,0.049942,0.151890,0.763210,0.000000018311
254,0.050572,0.049792,0.049792,0.151416,0.763969,0.000000018311
255,0.050590,0.050013,0.050013,0.152587,0.762981,0.000000018311
256,0.050582,0.049983,0.049983,0.152641,0.763168,0.000000018311
257,0.050670,0.050018,0.050018,0.152714,0.762978,0.000000018311
258,0.050624,0.050023,0.050023,0.151711,0.762765,0.000000018311
259,0.050632,0.049918,0.049918,0.151697,0.763292,0.000000018311
260,0.050703,0.050095,0.050095,0.152391,0.762502,0.000000018311
261,0.050641,0.050033,0.050033,0.153021,0.762965,0.000000018311
262,0.050714,0.050003,0.050003,0.152825,0.763070,0.000000018311
263,0.050719,0.050209,0.050209,0.152640,0.762010,0.000000018311
264,0.050422,0.049897,0.049897,0.153097,0.763695,0.000000018311
265,0.050686,0.049867,0.049867,0.152303,0.763682,0.000000018311
266,0.050625,0.050053,0.050053,0.152667,0.762826,0.000000018311
267,0.050644,0.049780,0.049780,0.152588,0.764238,0.000000018311
268,0.050655,0.050071,0.050071,0.152975,0.762786,0.000000018311
269,0.050529,0.049753,0.049753,0.151942,0.764168,0.000000018311
270,0.050667,0.049879,0.049879,0.152250,0.763597,0.000000018311
271,0.050563,0.049922,0.049922,0.152050,0.763341,0.000000018311
272,0.050735,0.050099,0.050099,0.152234,0.762506,0.000000018311
273,0.050627,0.050301,0.050301,0.152981,0.761637,0.000000018311
274,0.050667,0.049805,0.049805,0.151978,0.763962,0.000000018311
275,0.050619,0.049595,0.049595,0.151179,0.764848,0.000000018311
276,0.050628,0.049906,0.049906,0.152138,0.763450,0.000000018311
277,0.050648,0.050020,0.050020,0.152685,0.762962,0.000000018311
278,0.050615,0.049987,0.049987,0.153204,0.763300,0.000000018311
279,0.050585,0.050149,0.050149,0.152566,0.762289,0.000000018311
280,0.050715,0.050280,0.050280,0.152621,0.761685,0.000000018311
281,0.050653,0.050344,0.050344,0.152883,0.761352,0.000000018311
282,0.050584,0.050194,0.050194,0.152365,0.762036,0.000000018311
283,0.050671,0.049957,0.049957,0.152611,0.763311,0.000000018311
284,0.050567,0.049845,0.049845,0.152794,0.763915,0.000000018311
285,0.050728,0.050121,0.050121,0.153781,0.762752,0.000000018311
286,0.050703,0.049941,0.049941,0.152675,0.763378,0.000000018311
287,0.050762,0.050041,0.050041,0.152182,0.762759,0.000000018311
288,0.050655,0.049972,0.049972,0.152700,0.763199,0.000000018311
289,0.050545,0.049830,0.049830,0.152534,0.763909,0.000000018311
290,0.050636,0.049864,0.049864,0.151930,0.763645,0.000000018311
291,0.050588,0.049803,0.049803,0.151785,0.763853,0.000000018311
292,0.050603,0.050174,0.050174,0.153017,0.762240,0.000000018311
293,0.050655,0.050026,0.050026,0.153261,0.763045,0.000000018311
294,0.050667,0.050119,0.050119,0.153323,0.762554,0.000000018311
295,0.050635,0.049799,0.049799,0.151906,0.763916,0.000000018311
296,0.050553,0.049913,0.049913,0.152958,0.763587,0.000000018311
297,0.050694,0.050177,0.050177,0.153381,0.762321,0.000000018311
298,0.050647,0.050240,0.050240,0.151865,0.761692,0.000000018311
299,0.050672,0.050051,0.050051,0.152702,0.762835,0.000000018311
300,0.050612,0.050099,0.050099,0.152227,0.762497,0.000000018311
301,0.050640,0.049315,0.049315,0.151284,0.765353,0.000000018311
302,0.050543,0.049564,0.049564,0.151804,0.764130,0.000000018311
303,0.050698,0.049515,0.049515,0.151788,0.764385,0.000000018311
304,0.050641,0.049424,0.049424,0.152004,0.764895,0.000000018311
305,0.050648,0.049835,0.049835,0.153008,0.763031,0.000000018311
306,0.050659,0.049993,0.049993,0.152556,0.762106,0.000000018311
307,0.050687,0.049892,0.049892,0.152320,0.762562,0.000000018311
308,0.050718,0.049690,0.049690,0.153117,0.763825,0.000000018311
309,0.050705,0.049741,0.049741,0.152165,0.763277,0.000000018311
310,0.050708,0.049968,0.049968,0.152580,0.762204,0.000000018311
311,0.050819,0.049712,0.049712,0.152585,0.763588,0.000000018311
312,0.050666,0.049486,0.049486,0.151506,0.764480,0.000000018311
313,0.050586,0.049822,0.049822,0.153176,0.763114,0.000000018311
314,0.050546,0.049726,0.049726,0.152090,0.763387,0.000000018311
315,0.050642,0.049857,0.049857,0.151362,0.762577,0.000000018311
316,0.050761,0.049595,0.049595,0.151593,0.763965,0.000000018311
317,0.050736,0.049714,0.049714,0.151804,0.763362,0.000000018311
318,0.050622,0.049539,0.049539,0.151891,0.764311,0.000000018311
319,0.050664,0.049839,0.049839,0.152665,0.762919,0.000000018311
320,0.050763,0.049643,0.049643,0.153018,0.763986,0.000000018311
321,0.050606,0.049867,0.049867,0.152634,0.762757,0.000000018311
322,0.050637,0.049753,0.049753,0.151810,0.763151,0.000000018311
323,0.050645,0.049674,0.049674,0.151953,0.763611,0.000000018311
324,0.050649,0.049556,0.049556,0.152631,0.764386,0.000000018311
325,0.050631,0.049700,0.049700,0.151446,0.763419,0.000000018311
326,0.050676,0.049538,0.049538,0.152391,0.764400,0.000000018311
327,0.050660,0.049698,0.049698,0.151720,0.763463,0.000000018311
328,0.050728,0.049833,0.049833,0.152735,0.762951,0.000000018311
329,0.050696,0.049610,0.049610,0.152444,0.764027,0.000000018311
330,0.050648,0.049932,0.049932,0.152453,0.762365,0.000000018311
331,0.050809,0.049830,0.049830,0.152493,0.762910,0.000000018311
332,0.050802,0.049768,0.049768,0.152006,0.763142,0.000000018311
333,0.050609,0.049594,0.049594,0.151866,0.764012,0.000000018311
334,0.050655,0.049984,0.049984,0.152880,0.762220,0.000000018311
335,0.050640,0.049608,0.049608,0.152082,0.763997,0.000000018311
336,0.050678,0.049752,0.049752,0.152309,0.763277,0.000000018311
337,0.050665,0.049586,0.049586,0.152217,0.764142,0.000000018311
338,0.050584,0.049770,0.049770,0.151772,0.763094,0.000000018311
339,0.050667,0.049682,0.049682,0.152844,0.763793,0.000000018311
340,0.050761,0.050057,0.050057,0.152892,0.761866,0.000000018311
341,0.050671,0.049856,0.049856,0.153450,0.763001,0.000000018311
342,0.050636,0.049856,0.049856,0.153011,0.762923,0.000000018311
343,0.050604,0.049780,0.049780,0.152291,0.763129,0.000000018311
344,0.050650,0.049439,0.049439,0.152493,0.764948,0.000000018311
345,0.050805,0.049630,0.049630,0.151944,0.763839,0.000000018311
346,0.050734,0.049745,0.049745,0.151523,0.763165,0.000000018311
347,0.050719,0.049607,0.049607,0.152058,0.763997,0.000000018311
348,0.050624,0.049521,0.049521,0.152044,0.764433,0.000000018311
349,0.050548,0.049528,0.049528,0.151979,0.764370,0.000000018311
350,0.050490,0.050013,0.050013,0.152725,0.762013,0.000000018311
351,0.050610,0.050597,0.050597,0.153481,0.759364,0.000000018311
352,0.050641,0.050301,0.050301,0.152864,0.760801,0.000000018311
353,0.050606,0.050452,0.050452,0.153467,0.760107,0.000000018311
354,0.050556,0.049996,0.049996,0.152813,0.762314,0.000000018311
355,0.050531,0.050377,0.050377,0.153457,0.760531,0.000000018311
356,0.050560,0.050311,0.050311,0.153648,0.760913,0.000000018311
357,0.050572,0.050189,0.050189,0.153147,0.761420,0.000000018311
358,0.050680,0.049976,0.049976,0.152874,0.762453,0.000000018311
359,0.050547,0.050300,0.050300,0.153538,0.760906,0.000000018311
360,0.050570,0.050084,0.050084,0.152803,0.761932,0.000000018311
361,0.050507,0.050537,0.050537,0.153665,0.759772,0.000000018311
362,0.050478,0.050316,0.050316,0.153734,0.760845,0.000000018311
363,0.050656,0.050290,0.050290,0.153438,0.760948,0.000000018311
364,0.050556,0.050142,0.050142,0.153011,0.761618,0.000000018311
365,0.050660,0.050020,0.050020,0.152853,0.762215,0.000000018311
366,0.050596,0.050241,0.050241,0.153775,0.761257,0.000000018311
367,0.050656,0.050459,0.050459,0.153275,0.760039,0.000000018311
368,0.050558,0.050129,0.050129,0.153129,0.761693,0.000000018311
369,0.050574,0.050330,0.050330,0.153069,0.760645,0.000000018311
370,0.050481,0.050106,0.050106,0.152716,0.761754,0.000000018311
371,0.050617,0.050142,0.050142,0.153307,0.761646,0.000000018311
372,0.050567,0.050235,0.050235,0.152869,0.761108,0.000000018311
373,0.050516,0.050351,0.050351,0.154374,0.760880,0.000000018311
